category,volume,issue,date,link
SCIENTIFIC AMERICAN,159,6,December 1938,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=6213201D-D86A-4B24-A3AB674C80775CC9
SCIENTIFIC AMERICAN,159,5,November 1938,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=30E864AB-0117-49DA-A0115806F5BD7207
SCIENTIFIC AMERICAN,159,4,October 1938,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=BB68A267-6392-4B0F-AA3EB14609E7199E
SCIENTIFIC AMERICAN,159,3,September 1938,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=E44FB819-DD76-463A-A8CF331A2E92CAF5
SCIENTIFIC AMERICAN,159,2,August 1938,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=D3A95CEC-80B5-4DB2-895EAD7B9C027BA7
SCIENTIFIC AMERICAN,159,1,July 1938,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=30EBB5BF-7545-49F7-A71D39F90ADDDF7A
SCIENTIFIC AMERICAN,158,6,June 1938,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=8280B0EB-FC4F-419E-98F98CE63E85AB44
SCIENTIFIC AMERICAN,158,5,May 1938,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=22321EBB-C410-4F9F-BB415FC01F760662
SCIENTIFIC AMERICAN,158,4,April 1938,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=1ED7E4F4-5A63-4431-B29F92AB27452402
SCIENTIFIC AMERICAN,158,3,March 1938,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=CD9AD870-7D38-484C-9C595836D4C17E08
SCIENTIFIC AMERICAN,158,2,February 1938,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=19A63985-282F-4CAB-8C85924618B1BB10
SCIENTIFIC AMERICAN,158,1,January 1938,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=92E70C85-AC85-4764-82534F0CCE1F476C
SCIENTIFIC AMERICAN,157,6,December 1937,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=C21F8B7A-A43F-45BC-8C03614CEE503D19
SCIENTIFIC AMERICAN,157,5,November 1937,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=194F84E0-6651-4BB2-B4842F217852E4FA
SCIENTIFIC AMERICAN,157,4,October 1937,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=73D06EEA-DFCD-445E-89EDCBA8615BE785
SCIENTIFIC AMERICAN,157,3,September 1937,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=219A3943-78A9-4BE0-879E1A3B7D176FF8
SCIENTIFIC AMERICAN,157,2,August 1937,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=817387AA-1BB7-4D5F-9E90EB7B17364662
SCIENTIFIC AMERICAN,157,1,July 1937,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=31120400-F006-4637-97FF2B548429DA66
SCIENTIFIC AMERICAN,156,6,June 1937,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=DEEC0394-8BCE-404E-A263E8D640A6D083
SCIENTIFIC AMERICAN,156,5,May 1937,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=0E6AB117-C77B-4CD0-97B201A6EC30E289
SCIENTIFIC AMERICAN,156,4,April 1937,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=AF1EA456-E7CC-4629-8F93CC94CB0EE94F
SCIENTIFIC AMERICAN,156,3,March 1937,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=796FC881-C56C-4E30-873BC3EA02C4BCF4
SCIENTIFIC AMERICAN,156,2,February 1937,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=D86D1E3C-F6AE-4E91-9F88661168563334
SCIENTIFIC AMERICAN,156,1,January 1937,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=4BEF976D-F5D4-424A-BB12FC5EDE85CE61
SCIENTIFIC AMERICAN,155,6,December 1936,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=47544F2F-A97D-4F20-8C43FBBCD42AAE68
SCIENTIFIC AMERICAN,155,5,November 1936,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=B3D490CB-1094-405D-AB527B9C6E3F34CB
SCIENTIFIC AMERICAN,155,4,October 1936,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=BBDAE0C1-F6F6-4C70-B93A1417874FEBBD
SCIENTIFIC AMERICAN,155,3,September 1936,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=10BDA725-F712-4347-96C25B237EF1E5EF
SCIENTIFIC AMERICAN,155,2,August 1936,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=E541D4E9-CC65-4D31-9B125D784C329415
SCIENTIFIC AMERICAN,155,1,July 1936,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=3D7767DA-7C63-4C99-96A30330943BC730
SCIENTIFIC AMERICAN,154,6,June 1936,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=FBF5055B-8D14-403B-9F42121F5FCCC8A1
SCIENTIFIC AMERICAN,154,5,May 1936,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=0A922856-269E-4C63-82941D60FAAB9C26
SCIENTIFIC AMERICAN,154,4,April 1936,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=B4967B07-CAE6-42D1-8640F298BDE38A14
SCIENTIFIC AMERICAN,154,3,March 1936,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=AA3C31CE-2BCE-4E1C-A5530727595B8FBB
SCIENTIFIC AMERICAN,154,2,February 1936,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=AC8BCC3F-EE09-438B-B9DE51CD72D67525
SCIENTIFIC AMERICAN,154,1,January 1936,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=C7C0BC1D-E47C-4FB6-A136451FA91972A1
SCIENTIFIC AMERICAN,153,6,December 1935,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=679ACEE1-B062-48D7-9099EC660BDDD45B
SCIENTIFIC AMERICAN,153,5,November 1935,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=12871E9A-227D-4A66-AC90B5E9DA4C858F
SCIENTIFIC AMERICAN,153,4,October 1935,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=302AD89D-16C5-4043-BCAAB5F81FAAEF4C
SCIENTIFIC AMERICAN,153,3,September 1935,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=A87857EA-ADF1-43A3-82062ACAC8E00428
SCIENTIFIC AMERICAN,153,2,August 1935,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=698A4EC7-3FB0-4E23-BA6B6F57679B8B54
SCIENTIFIC AMERICAN,153,1,July 1935,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=855AF36B-579F-4000-B6B2FF2F930094F0
SCIENTIFIC AMERICAN,152,6,June 1935,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=653ADC2F-4A03-49E9-AED36625D83C8E20
SCIENTIFIC AMERICAN,152,5,May 1935,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=9868BF4E-B01F-495C-94103DC7127BE98D
SCIENTIFIC AMERICAN,152,4,April 1935,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=C40E1FB9-FDC9-4278-9E4290163136B5D1
SCIENTIFIC AMERICAN,152,3,March 1935,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=B383D02A-5F73-43A7-80FCE7EFA13233AE
SCIENTIFIC AMERICAN,152,2,February 1935,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=F7315EB8-044D-4F17-9B90FCAD1B6F7B2E
SCIENTIFIC AMERICAN,152,1,January 1935,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=649A0F8F-3261-45D3-A5044AF7F99F5DD5
SCIENTIFIC AMERICAN,151,6,December 1934,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=CCAECB6E-715A-40B5-843E746E17EE392E
SCIENTIFIC AMERICAN,151,5,November 1934,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=362F2486-6177-4B5B-8976A2D9BB77DABA
SCIENTIFIC AMERICAN,151,4,October 1934,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=750E3E84-174F-4672-97A1C5F1DD3D9BD3
SCIENTIFIC AMERICAN,151,3,September 1934,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=D07D2946-ED55-4BF5-B9EB2522AFFC857E
SCIENTIFIC AMERICAN,151,2,August 1934,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=3D4A8D5D-073A-48B9-ACEA4FD2327BA3BA
SCIENTIFIC AMERICAN,151,1,July 1934,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=F08D5506-46AB-4FDE-857C62D87685E87D
SCIENTIFIC AMERICAN,150,6,June 1934,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=B231C0CB-3BFC-482C-B216A1910A0089DF
SCIENTIFIC AMERICAN,150,5,May 1934,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=DC6D0149-93BC-4E57-B79A1748E061EA62
SCIENTIFIC AMERICAN,150,4,April 1934,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=AE24A624-1F03-4CEF-B699CC2EDD2DD070
SCIENTIFIC AMERICAN,150,3,March 1934,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=4699534A-0E7D-46A3-83DA40F579C7540F
SCIENTIFIC AMERICAN,150,2,February 1934,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=4BA36E27-C4FE-48DF-BAD841DA47195B0E
SCIENTIFIC AMERICAN,150,1,January 1934,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=E7CE0A24-72D3-4BD3-813C30C15B0993D6
SCIENTIFIC AMERICAN,149,6,December 1933,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=EDA4EBDE-98DE-4795-9C32D6338EE4C663
SCIENTIFIC AMERICAN,149,5,November 1933,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=2EE07775-8F26-47D4-8F35B8743588CD09
SCIENTIFIC AMERICAN,149,4,October 1933,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=1E099C86-E400-4DF2-A89941CA454865BC
SCIENTIFIC AMERICAN,149,3,September 1933,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=656DA2A6-FD1F-45C8-AE63E56782E01B1F
SCIENTIFIC AMERICAN,149,2,August 1933,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=DE6389F1-F902-48E9-8986B0F10DF9A538
SCIENTIFIC AMERICAN,149,1,July 1933,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=F2DC44A0-1D5F-41CA-9AA55C645184144E
SCIENTIFIC AMERICAN,148,6,June 1933,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=9A2C797B-ED2F-4489-9326E12CC1D067B8
SCIENTIFIC AMERICAN,148,5,May 1933,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=B9D39C2C-A49C-46DC-B2D05A20AFD6B38D
SCIENTIFIC AMERICAN,148,4,April 1933,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=CC4F778E-AE3C-48E5-B5FBE2DFF45C6825
SCIENTIFIC AMERICAN,148,3,March 1933,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=4E89F11E-054D-44CC-A40585975D499A30
SCIENTIFIC AMERICAN,148,2,February 1933,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=6F8F8C51-F73C-45F8-A71EC58B013AFA1B
SCIENTIFIC AMERICAN,148,1,January 1933,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=47751BCD-0EA1-4A15-9AD057FC7D0BB9D7
SCIENTIFIC AMERICAN,147,6,December 1932,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=F22E9125-26A3-4DFB-B2E36CCDAFFD21DF
SCIENTIFIC AMERICAN,147,5,November 1932,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=A7CD1B03-4309-4A2F-A63DAF7FB2A3BF70
SCIENTIFIC AMERICAN,147,4,October 1932,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=592886AE-F3FC-4A28-9C4B5280E15483AB
SCIENTIFIC AMERICAN,147,3,September 1932,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=4E95014A-B733-4A74-9B534B37F3C23141
SCIENTIFIC AMERICAN,147,2,August 1932,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=0F429A98-624D-4BC3-AE5F84B3520D412A
SCIENTIFIC AMERICAN,147,1,July 1932,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=CE5C39C8-6665-4BD0-BF5F9BB77F218E40
SCIENTIFIC AMERICAN,146,6,June 1932,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=3F7005B4-32A0-4B88-86CC0F60DD8739A4
SCIENTIFIC AMERICAN,146,5,May 1932,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=1ABB9BE0-4DDB-4AC5-87E174EABAEBB055
SCIENTIFIC AMERICAN,146,4,April 1932,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=4AD4B4F1-F069-47AA-8B89434589A6DE76
SCIENTIFIC AMERICAN,146,3,March 1932,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=0E8BFE1A-E475-4284-A444C10BE4A9BA93
SCIENTIFIC AMERICAN,146,2,February 1932,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=01D5233F-09F6-420F-B0F3C65E2D19D3A5
SCIENTIFIC AMERICAN,146,1,January 1932,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=344EF129-6A78-427B-88E83C70576D1761
SCIENTIFIC AMERICAN,145,6,December 1931,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=C994BDFB-889D-4826-8863D5BBCDDFEA7B
SCIENTIFIC AMERICAN,145,5,November 1931,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=E45FF68C-CB24-48C1-989C31CBEBA70AC2
SCIENTIFIC AMERICAN,145,4,October 1931,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=E56FDC44-0E1C-4C00-B509AE3806CC6DD7
SCIENTIFIC AMERICAN,145,3,September 1931,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=59BC7330-817D-4A6E-BCA0B0C74B4A7869
SCIENTIFIC AMERICAN,145,2,August 1931,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=1B43666B-5499-41D9-BBC4326D00738595
SCIENTIFIC AMERICAN,145,1,July 1931,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=0DA69743-AB3C-4B39-AE8C22B6B9778B62
SCIENTIFIC AMERICAN,144,6,June 1931,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=863AD86C-B5C6-41B3-99AE3E307A2B6F33
SCIENTIFIC AMERICAN,144,5,May 1931,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=7A50295A-8819-4F5B-AA902AB811348E7F
SCIENTIFIC AMERICAN,144,4,April 1931,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=A64D34BF-ACA5-42F0-98495D49A73EE68A
SCIENTIFIC AMERICAN,144,3,March 1931,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=4A58D3ED-F564-417C-BF03020D60EAE1E7
SCIENTIFIC AMERICAN,144,2,February 1931,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=780BEE6B-4EFC-4190-9B5F2FA883534A8E
SCIENTIFIC AMERICAN,144,1,January 1931,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=1A1E0B33-6E28-459A-8EAA01F63DBBEC6C
SCIENTIFIC AMERICAN,143,6,December 1930,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=06CEFA0B-702C-4455-9422BF82487AC01D
SCIENTIFIC AMERICAN,143,5,November 1930,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=6206ECB5-1FCB-41D0-B4905C78F300E845
SCIENTIFIC AMERICAN,143,4,October 1930,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=B924102A-9306-4B22-B94A50CB66E67A8A
SCIENTIFIC AMERICAN,143,3,September 1930,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=306145DA-BCAA-4776-91660227A1CEA6A3
SCIENTIFIC AMERICAN,143,2,August 1930,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=A1A29BEC-B85A-4944-BECBE7FA5D0D7C47
SCIENTIFIC AMERICAN,143,1,July 1930,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=F815B316-61EF-4126-BBD1A3C1611762C8
SCIENTIFIC AMERICAN,142,6,June 1930,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=791E7043-85C0-411A-B5903BFC16DDA5A1
SCIENTIFIC AMERICAN,142,5,May 1930,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=0747DA88-3CDE-4946-A44F7AC84AD05378
SCIENTIFIC AMERICAN,142,4,April 1930,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=FAA5020C-B745-44E2-A38B597B3D520535
SCIENTIFIC AMERICAN,142,3,March 1930,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=CFD78AFC-2C85-4E31-BB7B3E4B13FE7035
SCIENTIFIC AMERICAN,142,2,February 1930,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=21F6F732-0666-4D12-9F2A548376A974E8
SCIENTIFIC AMERICAN,142,1,January 1930,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=93D527F1-8098-4960-95740383DCF3D0AE
SCIENTIFIC AMERICAN,141,6,December 1929,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=D21F7551-6A43-4629-BB6A8ED191AF3021
SCIENTIFIC AMERICAN,141,5,November 1929,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=2699AF37-5A4D-42A0-9FE69C9DB56F4F75
SCIENTIFIC AMERICAN,141,4,October 1929,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=079843C2-ED51-4FCF-AD3B22E3C730AD05
SCIENTIFIC AMERICAN,141,3,September 1929,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=06FE0F21-FEA7-4514-8BF498CEE805D4A9
SCIENTIFIC AMERICAN,141,2,August 1929,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=3E23EE6D-8C5E-4655-9DC4E5ACCFFAE47D
SCIENTIFIC AMERICAN,141,1,July 1929,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=5213A98C-D33B-4AFE-8D38E27142F354A7
SCIENTIFIC AMERICAN,140,6,June 1929,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=1588E9CC-8856-4320-93C8F393487C7202
SCIENTIFIC AMERICAN,140,5,May 1929,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=22CC5DCA-4D10-4345-891C1E1017D6D651
SCIENTIFIC AMERICAN,140,4,April 1929,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=1301DF7B-3690-432F-A721A610890A9152
SCIENTIFIC AMERICAN,140,3,March 1929,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=CD90900B-1B55-437E-8E8A5D91F342B1F9
SCIENTIFIC AMERICAN,140,2,February 1929,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=5518848A-D48A-4523-88DFC4E239C6CF8A
SCIENTIFIC AMERICAN,140,1,January 1929,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=5ECCB20B-11B0-4F45-B6DBCD0A17881BC3
SCIENTIFIC AMERICAN,139,6,December 1928,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=53E5BB74-48B3-4BA0-822DBAC41DCE1FEA
SCIENTIFIC AMERICAN,139,5,November 1928,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=8F2A82F0-1748-45FF-8264682A55944194
SCIENTIFIC AMERICAN,139,4,October 1928,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=8ACA4F31-0ED0-4224-83F320CBF9DEF348
SCIENTIFIC AMERICAN,139,3,September 1928,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=FB85448A-D552-42DE-AC603317132C26B8
SCIENTIFIC AMERICAN,139,2,August 1928,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=D400A38C-B058-46EC-A888F84583D4D7F1
SCIENTIFIC AMERICAN,139,1,July 1928,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=DF078C29-7930-43C6-94046BFA61774E8C
SCIENTIFIC AMERICAN,138,6,June 1928,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=D325F43C-2117-46E4-AA6F4129B530F670
SCIENTIFIC AMERICAN,138,5,May 1928,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=B7F4C1B6-98C8-4E58-96D5257BB97B369A
SCIENTIFIC AMERICAN,138,4,April 1928,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=5D77CEA7-7B70-407F-9A9FE4B1A533F49E
SCIENTIFIC AMERICAN,138,3,March 1928,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=2939E047-257F-46D1-8DFB8F3A134739D5
SCIENTIFIC AMERICAN,138,2,February 1928,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=145C022A-FFA5-40E2-A9A81D08DF699788
SCIENTIFIC AMERICAN,138,1,January 1928,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=10D27E8C-4EBC-410D-AD5D54C339D51092
SCIENTIFIC AMERICAN,137,6,December 1927,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=1D3709D7-D528-44CB-B6631B6D9B04A75E
SCIENTIFIC AMERICAN,137,5,November 1927,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=A44CA488-6E5E-4082-8C149F9B1E028D90
SCIENTIFIC AMERICAN,137,4,October 1927,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=4356C74C-13E6-4C5C-88A0D5C202CD64FF
SCIENTIFIC AMERICAN,137,3,September 1927,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=EBA2E435-BEF3-4F9B-BF8A4E9DDD46F026
SCIENTIFIC AMERICAN,137,2,August 1927,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=C50A50B1-06D7-431A-8A280B7B2709F5C3
SCIENTIFIC AMERICAN,137,1,July 1927,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=DE1E96DF-6953-4FB4-B54A3FCBD9C84AE0
SCIENTIFIC AMERICAN,136,6,June 1927,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=4C88D9F1-9F90-4A39-8DDC3FCB8CE054C3
SCIENTIFIC AMERICAN,136,5,May 1927,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=CF2C02AC-9D39-4FEA-A8F9FDE4ADB8F1B0
SCIENTIFIC AMERICAN,136,4,April 1927,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=36F3D20F-6C71-4A65-83AE818D5318BD22
SCIENTIFIC AMERICAN,136,3,March 1927,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=362B2CE4-A642-4301-9727BAD30CDDE3A7
SCIENTIFIC AMERICAN,136,2,February 1927,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=EF04745A-6D56-401E-ADFD0F012009B2CB
SCIENTIFIC AMERICAN,136,1,January 1927,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=8F6D709D-6867-429F-96DB6D3A58365CE9
SCIENTIFIC AMERICAN,135,6,December 1926,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=CBC7693A-D561-4D05-92784582D4B02B14
SCIENTIFIC AMERICAN,135,5,November 1926,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=A5EDE563-D2AF-459B-9618BA39FBC47424
SCIENTIFIC AMERICAN,135,4,October 1926,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=47BE1F30-537D-4FC8-AEC02630D53634AB
SCIENTIFIC AMERICAN,135,3,September 1926,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=AA251625-22CE-4EB2-964F4468B844F240
SCIENTIFIC AMERICAN,135,2,August 1926,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=A4B9C24A-3A53-4897-A546EF013B861FFF
SCIENTIFIC AMERICAN,135,1,July 1926,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=46E884C9-943B-47E7-87ABA14A7C0AC6E4
SCIENTIFIC AMERICAN,134,6,June 1926,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=6B084A78-36B1-4D5F-B4CCE6C46F9979E0
SCIENTIFIC AMERICAN,134,5,May 1926,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=9CF821F5-99C5-4B0E-BA9F12F60495523B
SCIENTIFIC AMERICAN,134,4,April 1926,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=EC2C9987-21F8-4085-B92CCC1A08A23336
SCIENTIFIC AMERICAN,134,3,March 1926,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=1486D08F-46E1-4E40-ACDA4205478BE2F0
